"","ano","juri","juri_nombre","sexo_codigo","sexo_nombre","edad","poblacion"
"72",2011,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1732199
"73",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3573638
"74",2011,"01","TOTAL DEL PAÍS","1","Varones","15-19",1806648
"75",2011,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1766990
"76",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3395590
"77",2011,"01","TOTAL DEL PAÍS","1","Varones","20-24",1701340
"78",2011,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1694250
"79",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3184168
"80",2011,"01","TOTAL DEL PAÍS","1","Varones","25-29",1585381
"81",2011,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1598787
"82",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3142982
"83",2011,"01","TOTAL DEL PAÍS","1","Varones","30-34",1556663
"84",2011,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1586319
"85",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",2800329
"86",2011,"01","TOTAL DEL PAÍS","1","Varones","35-39",1379507
"87",2011,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1420822
"88",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2396702
"89",2011,"01","TOTAL DEL PAÍS","1","Varones","40-44",1174136
"90",2011,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1222566
"91",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2227234
"92",2011,"01","TOTAL DEL PAÍS","1","Varones","45-49",1084695
"93",2011,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1142539
"94",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2084856
"95",2011,"01","TOTAL DEL PAÍS","1","Varones","50-54",1008281
"96",2011,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1076575
"97",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1902187
"98",2011,"01","TOTAL DEL PAÍS","1","Varones","55-59",910396
"99",2011,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",991791
"100",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1664823
"101",2011,"01","TOTAL DEL PAÍS","1","Varones","60-64",782593
"102",2011,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",882230
"103",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1342617
"104",2011,"01","TOTAL DEL PAÍS","1","Varones","65-69",612286
"105",2011,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",730331
"106",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1047618
"107",2011,"01","TOTAL DEL PAÍS","1","Varones","70-74",453580
"108",2011,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",594038
"109",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",813519
"110",2011,"01","TOTAL DEL PAÍS","1","Varones","75-79",327143
"111",2011,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",486376
"112",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",571682
"113",2011,"01","TOTAL DEL PAÍS","1","Varones","80-84",204429
"114",2011,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",367253
"115",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",310367
"116",2011,"01","TOTAL DEL PAÍS","1","Varones","85-89",97160
"117",2011,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",213207
"118",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",113834
"119",2011,"01","TOTAL DEL PAÍS","1","Varones","90-94",30245
"120",2011,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",83589
"121",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",24266
"122",2011,"01","TOTAL DEL PAÍS","1","Varones","95-99",4851
"123",2011,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",19415
"124",2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",4645
"125",2011,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1001
"126",2011,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",3644
"127",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3671011
"128",2012,"01","TOTAL DEL PAÍS","1","Varones","0-4",1890649
"129",2012,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1780362
"130",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3511823
"131",2012,"01","TOTAL DEL PAÍS","1","Varones","5-9",1801192
"132",2012,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1710631
"133",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3521389
"134",2012,"01","TOTAL DEL PAÍS","1","Varones","10-14",1795551
"135",2012,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1725838
"136",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3574520
"137",2012,"01","TOTAL DEL PAÍS","1","Varones","15-19",1809575
"138",2012,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1764945
"139",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3444594
"140",2012,"01","TOTAL DEL PAÍS","1","Varones","20-24",1728135
"141",2012,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1716459
"142",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3212958
"143",2012,"01","TOTAL DEL PAÍS","1","Varones","25-29",1600602
"144",2012,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1612356
"145",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3154334
"146",2012,"01","TOTAL DEL PAÍS","1","Varones","30-34",1563298
"147",2012,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1591036
"148",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",2890574
"149",2012,"01","TOTAL DEL PAÍS","1","Varones","35-39",1424979
"150",2012,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1465595
"151",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2457684
"152",2012,"01","TOTAL DEL PAÍS","1","Varones","40-44",1204662
"153",2012,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1253022
"154",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2241583
"155",2012,"01","TOTAL DEL PAÍS","1","Varones","45-49",1092116
"156",2012,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1149467
"157",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2107503
"158",2012,"01","TOTAL DEL PAÍS","1","Varones","50-54",1019205
"159",2012,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1088298
"160",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1926230
"161",2012,"01","TOTAL DEL PAÍS","1","Varones","55-59",921679
"162",2012,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",1004551
"163",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1697644
"164",2012,"01","TOTAL DEL PAÍS","1","Varones","60-64",797936
"165",2012,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",899708
"166",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1383542
"167",2012,"01","TOTAL DEL PAÍS","1","Varones","65-69",631151
"168",2012,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",752391
"169",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1069936
"170",2012,"01","TOTAL DEL PAÍS","1","Varones","70-74",464039
"171",2012,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",605897
"172",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",820245
"173",2012,"01","TOTAL DEL PAÍS","1","Varones","75-79",330001
"174",2012,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",490244
"175",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",575646
"176",2012,"01","TOTAL DEL PAÍS","1","Varones","80-84",206862
"177",2012,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",368784
"178",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",319518
"179",2012,"01","TOTAL DEL PAÍS","1","Varones","85-89",99878
"180",2012,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",219640
"181",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",121659
"182",2012,"01","TOTAL DEL PAÍS","1","Varones","90-94",32570
"183",2012,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",89089
"184",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",25647
"185",2012,"01","TOTAL DEL PAÍS","1","Varones","95-99",5240
"186",2012,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",20407
"187",2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",5231
"188",2012,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1071
"189",2012,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",4160
"190",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3712611
"191",2013,"01","TOTAL DEL PAÍS","1","Varones","0-4",1911781
"192",2013,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1800830
"193",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3522721
"194",2013,"01","TOTAL DEL PAÍS","1","Varones","5-9",1808975
"195",2013,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1713746
